Temperature Change (F),Thickness of Concrete Layer (in.),Composite K (psi/in.),Concrete Stress (T) (psi),Concrete Stress (E) (psi)
65,15.5,300,81.33,198.91
65,15.5,500,60.86,199.13
65,15.5,700,55.36,199.22
65,15.5,1000,47.12,199.35
65,15.5,1300,38.87,199.48
65,15.5,1600,30.62,199.61
65,16.0,50,168.58,198.22
65,16.0,100,150.75,198.36
65,16.0,300,79.42,198.94
65,16.0,500,59.83,199.18
65,16.0,700,54.54,199.27
65,16.0,1000,46.61,199.42
65,16.0,1300,38.68,199.56
65,16.0,1600,30.75,199.70
95,6.0,50,444.63,215.97
95,6.0,100,424.33,215.95
95,6.0,300,343.15,215.87
95,6.0,500,310.90,215.84
95,6.0,700,299.01,215.83
95,6.0,1000,281.17,215.82
95,6.0,1300,263.33,215.81
95,6.0,1600,245.49,215.80
95,6.5,50,420.54,215.93
95,6.5,100,400.19,215.90
95,6.5,300,318.78,215.78
95,6.5,500,286.89,215.74
95,6.5,700,275.29,215.73
95,6.5,1000,257.89,215.71
95,6.5,1300,240.48,215.69
95,6.5,1600,223.08,215.67
95,7.0,50,396.46,215.88
95,7.0,100,376.05,215.84
95,7.0,300,294.40,215.70
95,7.0,500,262.89,215.64
95,7.0,700,251.58,215.62
95,7.0,1000,234.61,215.60
95,7.0,1300,217.64,215.58
95,7.0,1600,200.67,215.55
95,7.5,50,372.37,215.84
95,7.5,100,351.90,215.79
95,7.5,300,270.03,215.61
95,7.5,500,238.88,215.54
95,7.5,700,227.86,215.52
95,7.5,1000,211.33,215.49
95,7.5,1300,194.79,215.46
95,7.5,1600,178.26,215.43
95,8.0,50,344.83,215.82
95,8.0,100,324.40,215.78
95,8.0,300,242.67,215.62
95,8.0,500,212.08,215.56
95,8.0,700,201.43,215.54
95,8.0,1000,185.45,215.52
95,8.0,1300,169.46,215.50
95,8.0,1600,153.48,215.47
95,8.5,50,330.18,215.78
95,8.5,100,309.68,215.73
95,8.5,300,227.69,215.54
95,8.5,500,197.50,215.46
95,8.5,700,187.14,215.44
95,8.5,1000,171.59,215.41
95,8.5,1300,156.04,215.37
95,8.5,1600,140.50,215.34
95,9.0,50,315.54,215.75
95,9.0,100,294.97,215.69
95,9.0,300,212.71,215.45
95,9.0,500,182.92,215.35
95,9.0,700,172.84,215.32
95,9.0,1000,157.73,215.29
95,9.0,1300,142.62,215.25
95,9.0,1600,127.50,215.21
95,9.5,50,297.44,215.74
95,9.5,100,276.90,215.69
95,9.5,300,194.73,215.48
95,9.5,500,165.53,215.40
95,9.5,700,155.83,215.38
95,9.5,1000,141.28,215.34
95,9.5,1300,126.73,215.30
95,9.5,1600,112.18,215.27
95,10.0,50,279.36,215.75
95,10.0,100,258.83,215.70
95,10.0,300,176.72,215.52
95,10.0,500,148.13,215.46
95,10.0,700,138.81,215.44
95,10.0,1000,124.84,215.42
95,10.0,1300,110.87,215.39
95,10.0,1600,96.89,215.36
95,10.5,50,272.97,215.70
95,10.5,100,252.28,215.62
95,10.5,300,169.52,215.31
95,10.5,500,141.16,215.20
95,10.5,700,132.04,215.16
95,10.5,1000,118.37,215.11
95,10.5,1300,104.70,215.06
95,10.5,1600,91.02,215.00
95,11.0,50,263.15,215.67
95,11.0,100,242.38,215.58
95,11.0,300,159.30,215.22
95,11.0,500,131.37,215.09
95,11.0,700,122.55,215.05
95,11.0,1000,109.31,214.99
95,11.0,1300,96.07,214.93
95,11.0,1600,82.84,214.87
95,11.5,50,256.74,215.61
95,11.5,100,235.82,215.49
95,11.5,300,152.13,215.00
95,11.5,500,124.42,214.80
95,11.5,700,115.78,214.74
95,11.5,1000,102.82,214.66
95,11.5,1300,89.86,214.57
95,11.5,1600,76.90,214.48
95,12.0,50,246.91,215.60
95,12.0,100,225.91,215.46
95,12.0,300,141.93,214.90
95,12.0,500,114.64,214.68
95,12.0,700,106.29,214.62
95,12.0,1000,93.76,214.52
95,12.0,1300,81.23,214.42
95,12.0,1600,68.70,214.33
95,12.5,50,239.90,215.59
95,12.5,100,218.81,215.43
95,12.5,300,134.47,214.79
95,12.5,500,107.65,214.55
95,12.5,700,99.58,214.48
95,12.5,1000,87.49,214.37
95,12.5,1300,75.39,214.26
95,12.5,1600,63.29,214.15
95,13.0,50,229.52,215.60
95,13.0,100,208.40,215.45
95,13.0,300,123.91,214.85
95,13.0,500,97.82,214.61
95,13.0,700,90.16,214.55
95,13.0,1000,78.68,214.45
95,13.0,1300,67.20,214.35
95,13.0,1600,55.71,214.26
95,13.5,50,222.53,215.59
95,13.5,100,201.31,215.42
95,13.5,300,116.44,214.74
95,13.5,500,90.83,214.48
95,13.5,700,83.47,214.41
95,13.5,1000,72.42,214.31
95,13.5,1300,61.37,214.20
95,13.5,1600,50.33,214.10
95,14.0,50,202.22,215.68
95,14.0,100,181.06,215.61
95,14.0,300,96.44,215.34
95,14.0,500,72.46,215.24
95,14.0,700,65.93,215.23
95,14.0,1000,56.14,215.21
95,14.0,1300,46.34,215.19
95,14.0,1600,36.55,215.17
95,14.5,50,189.59,215.70
95,14.5,100,169.30,215.70
95,14.5,300,88.13,215.71
95,14.5,500,65.60,215.74
95,14.5,700,59.55,215.77
95,14.5,1000,50.49,215.81
95,14.5,1300,41.42,215.85
95,14.5,1600,32.35,215.89
95,15.0,50,180.41,215.70
95,15.0,100,160.97,215.74
95,15.0,300,83.23,215.92
95,15.0,500,61.88,216.01
95,15.0,700,56.17,216.06
95,15.0,1000,47.61,216.14
95,15.0,1300,39.05,216.21
95,15.0,1600,30.49,216.29
95,15.5,50,174.49,215.66
95,15.5,100,155.86,215.72
95,15.5,300,81.33,215.95
95,15.5,500,60.86,216.07
95,15.5,700,55.36,216.13
95,15.5,1000,47.12,216.21
95,15.5,1300,38.87,216.29
95,15.5,1600,30.62,216.38
95,16.0,50,168.58,215.64
95,16.0,100,150.75,215.71
95,16.0,300,79.42,215.98
95,16.0,500,59.83,216.12
95,16.0,700,54.54,216.18
95,16.0,1000,46.61,216.28
95,16.0,1300,38.68,216.38
95,16.0,1600,30.75,216.47
